collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,19,2024-04-21 00:00:00,Onagraceae,Oenothera,tetraptera,,"Mesquite scrub in deep, loose sand within 2 miles of the Colorado River.",,flower,wild,,,USA,TX,Mitchell,Robert Lee,private ranch,32.205,-100.838,2015,ft
,20,2024-04-21 00:00:00,Asteraceae,Aphanostephus,?,,"Mesquite scrub in deep, loose sand within 2 miles of the Colorado River.",,flower,wild,,,USA,TX,Mitchell,Robert Lee,private ranch,32.205,-100.838,2015,ft
,21,2024-04-23 00:00:00,Commelinaceae,Tradescantia,occidentalis,,Mowed roadside area with diverse weedy forbs and grasses.,,flower,wild,,,USA,TX,Runnels,Ballinger,US-67 roadside,31.7,-99.987,1690,ft
,22,2024-04-23 00:00:00,Asteraceae,Gaillardia,pulchella,,Mowed roadside area with diverse weedy forbs and grasses.,,flower,wild,,,USA,TX,Runnels,Ballinger,US-67 roadside,31.7,-99.987,1690,ft
,23,2024-04-23 00:00:00,Asteraceae,Coreopsis,tinctoria,,Mowed roadside area with diverse weedy forbs and grasses.,,flower,wild,,,USA,TX,Runnels,Ballinger,US-67 roadside,31.7,-99.987,1690,ft
,24,2024-04-23 00:00:00,Polemoniaceae,Phlox,drummondii,,Mowed roadside area with diverse weedy forbs and grasses.,,flower,wild,,,USA,TX,Runnels,Ballinger,US-67 roadside,31.7,-99.987,1690,ft
,25,2024-04-23 00:00:00,Lamiaceae,Monarda,citriodora,,Mowed roadside area with diverse weedy forbs and grasses.,,flower,wild,,,USA,TX,Runnels,Ballinger,US-67 roadside,31.7,-99.987,1690,ft
,26,2024-04-29 00:00:00,Onagraceae,Oenothera,speciosa,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,27,2024-04-29 00:00:00,Verbenaceae,Lantana,urticoides,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,28,2024-04-29 00:00:00,Boraginaceae,Nemophila,phacelioides,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,29,2024-04-29 00:00:00,Plantaginaceae,Plantago,rhodosperma,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,30,2024-04-29 00:00:00,Boraginaceae,Phacelia,congesta,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,31,2024-04-29 00:00:00,Verbenaceae,Glandularia,bipinnatifida,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,32,2024-04-29 00:00:00,Verbenaceae,Verbena,canescens,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,33,2024-04-29 00:00:00,Commelinaceae,Commelina,erecta,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,34,2024-04-29 00:00:00,Asteraceae,Calyptocarpus,vialis,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,35,2024-04-29 00:00:00,Fabaceae,Lupinus,texensis,,"Moist, shaded prairie habitat upland of Williamson Creek.",,flower,wild,,,USA,TX,Travis,Austin,East Congress greenbelt,30.208,-97.769,600,ft
,1,2024-03-21 00:00:00,Malvacea,Sphaeralcea,ambigua,,grassland,Prickly pear,Flowering,Wild,F,orange flower,US,Texas,Tom Green,San Angelo,,31.36730 N,100.52544 W,1890,feet
,2,2024-03-21 00:00:00,Amaryllidacea,Nothoscordum,bivalve,,desert,,Flowering,Wild,F,white flower with yellow stamens,US,Texas,Tom Green,San Angelo,,31.36730 N,100.52544 W,1890,feet
,3,2024-03-21 00:00:00,Brassicaceae,Lepidium,virginicum,,desert,Apricot globe-mallow,Flowering,Wild,F,little white flowers,US,Texas,Tom Green,San Angelo,,31.36730 N,100.52544 W,1890,feet
,4,2024-03-21 00:00:00,Geraniacea,Erodium,malacoides,,desert,Huisache daisy,Flowering,Wild,F,purple flower,US,Texas,Tom Green,San Angelo,,31.36730 N,100.52544 W,1890,feet
,5,2024-03-21 00:00:00,Asteraceae,Amblyolepis,setigera,,desert,Shaggy fleabane,Flowering,Wild,F,yellow flower,US,Texas,Tom Green,San Angelo,,31.36730 N,100.52544 W,1890,feet
,6,2024-03-31 00:00:00,Rosaceae,Rosa,moyesii,,rocky soils,,Flowering,Cultivated,F,dark purple and fushia flower,US,Texas,Bexar,San Antonio,,29.40698 N,98.52760 W,668,feet
,7,2024-03-31 00:00:00,Rosaceae,Rosa,pendulina,,rocky soils,,Flowering,Cultivated,F,fushia colored flower,US,Texas,Bexar,San Antonio,,29.40698 N,98.52760 W,668,feet
,8,2024-04-04 00:00:00,Asteraceae,Erigeron,pumilus,,desert,Huisache daisy,Flowering,Wild,F,white petals with yellow center,US,Texas,Tom Green,San Angelo,,31.50432 N,100.49943 W,1915,feet
,9,2024-04-04 00:00:00,Lamiaceae,Marrubium,vulgare,,desert,Huisache daisy,Flowering,WIld,F,off white flowers and fuzzy stem,US,Texas,Tom Green,San Angelo,,31.50432 N,100.49943 W,1915,feet
,10,2024-04-04 00:00:00,Verbenaceae,Verbena,gooddingii,,desert,,Flowering,Wild,F,purple flowers,US,Texas,Tom Green,San Angelo,,31.50432 N,100.49943 W,1915,feet
,11,2024-04-11 00:00:00,Asparagaceae,Hesperaloe,parviflora,,rocky soils,,Flowering,Cultivated,F,red flowers,US,Texas,Tom Green,San Angelo,,31.44021 N,100.46432 W,1925,feet
,12,2024-04-18 00:00:00,Brassicaceae,Naturtium,officinale,,Water bound,,Flowering,Wild,F,little white flowers,US,Texas,Tom Green,San Angelo,,31.25503 N,100.66152 W,2124,feet
,13,2024-04-18 00:00:00,Fabaceae,Medicago,minima,,Near water,,Flowering,Wild,F,burrs,US,Texas,Tom Green,San Angelo,,31.25503 N,100.66152 W,2124,feet
,14,2024-04-19 00:00:00,Solanaceae,Solanum,elaeagnifolium,,grasslands,,Flowering,Wild,F,"purple flowers with yellow stamens, thorns on stem",US,Texas,Tom Green,San Angelo,,31.44571 N,100.46006 W,1900,feet
,15,2024-04-19 00:00:00,Rosaceae,Rhaphiolepis,indica,,grasslands,,Flowering,Cultivated,F,white flowers,US,Texas,Tom Green,San Angelo,,31.44571 N,100.46006 W,1900,feet
,16,2024-04-19 00:00:00,Verbenaceae,Lantana,camara,,grasslands,,Flowering,Wild,F,a mix of yellow and pink flowers,US,Texas,Tom Green,San Angelo,,31.44571 N,100.46006 W,1900,feet
,17,2024-04-25 00:00:00,Asteraceae,Gaillardia,pulchella,,grasslands,,Flowering,Wild,F,petals fade from deep red to yellow on the tips,US,Texas,Tom Green,San Angelo,,31.44571 N,100.46006 W,1900,feet
,18,2024-04-25 00:00:00,Onagraceae,Oenothera,speciosa,,grasslands,,Flowering,Wild,F,light pink flower with yellow stamens,US,Texas,Tom Green,San Angelo,,31.44038 N,100.46459 W,1923,feet
,19,2024-04-25 00:00:00,Asteraceae,Coreopsis,basalis,,grasslands,Primrose,Flowering,Wild,F,yellow flower with deep red center,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,20,2024-04-25 00:00:00,Asteraceae,Xanthisma,gracile,,grasslands,Primrose,Flowering,Wild,F,yellow flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,21,2024-04-25 00:00:00,Lythraceae,Lythrum,alatum,,grasslands,Primrose,Flowering,Wild,F,pink-red flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,22,2024-04-25 00:00:00,Fabaceae,Melilotus,albus,,grasslands,Primrose,Flowering,Wild,F,tiny white flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,23,2024-04-25 00:00:00,Ranunculaceae,Delphinium,ajacis,,grasslands,Primrose,Flowering,Wild,F,dark blue-purple flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,24,2024-04-25 00:00:00,Cupressaceae,Juniperus,osteosperma,,grasslands,,Fruiting,Cultivated,F,blue fruit,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,25,2024-04-25 00:00:00,Lamiaceae,Salvia,greggi,,grasslands,Primrose,Flowering,Wild,F,dark pinkish flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,26,2024-04-25 00:00:00,Verbenaceae,Verbena,halei,,grasslands,Primrose,Flowering,Wild,F,tiny blue flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,27,2024-04-25 00:00:00,Plantiginaceae,Veronica,serpyllifolia,,grasslands,Primrose,Flowering,Wild,F,light blue flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,28,2024-04-25 00:00:00,Asparagaceae,Yucca,filamentosa,,grasslands,Primrose,Flowering,Wild,F,white flowers,US,Texas,Tom Green,San Angelo,,31.43945 N,100.45933 W,1912,feet
,29,2024-04-04 00:00:00,Malvacea,Sphaeralcea,hastulata,,desert,,Flowering,Wild,F,orange flowers,US,Texas,Tom Green,San Angelo,,31.50432 N,100.49943 W,1915,feet
,30,2024-04-18 00:00:00,Urticaceae,Urtica,chamaedryoides,,grasslands,,Flowering,Wild,F,thorns all throughout stem and leaves,US,Texas,Tom Green,San Angelo,,31.25503 N,100.66152 W,2124,feet
,31,2024-04-25 00:00:00,Asteraceae,Ratibida,columnifera,,grasslands,Primrose,Flowering,Wild,F,"long center bulb, yellow pettles",US,Texas,Tom Green,San Angelo,,31.44398 N,100.45606 W,1894,feet
,32,2024-04-25 00:00:00,Asteraceae,Tragopogon,porrifolius,,grasslands,Primrose,Flowering,Wild,F,white milky secretion,US,Texas,Tom Green,San Angelo,,31.43981 N,100.46148 W,1923,feet
,33,2024-04-29 00:00:00,Solanaceae,Solanum,triquetrum,,grasslands,,Flowering/Fruiting,Wild,F,"White flowers with purple steaks, red fruit",US,Texas,Tom Green,San Angelo,,31.43981 N,100.46148 W,1923,feet
,34,2024-04-29 00:00:00,Bignoniaceae,Chilopsis,linearis,,grasslands,,Flowering,Cultivated,F,Pink flowers,US,Texas,Tom Green,San Angelo,,31.44298 N,100.45868 W,1900,feet
,35,2024-04-29 00:00:00,Berberdiaceae,Nandina,domestica,,grasslands,Dandelions,Flowering/Fruiting,Cultivated,F,Red fruit and white flower,US,Texas,Tom Green,San Angelo,,31.44298 N,100.46423 W,1922,feet
,36,2024-04-29 00:00:00,Asteraceae,Gaillardia,pinnatifida,,grasslands,,Flowering,Wild,F,White fuzz around bulb,US,Texas,Tom Green,San Angelo,,31.44624 N,100.46056 W,1901,feet
,1,2024-03-17 00:00:00,Lamiaceae,Lamium,amplexicaule,,Front Lawn of house,"Poaceae, St. Augustine grass",Flowering,Wild,B,"Herb, Sprawling Habit, purple-pink flowers in apparent whorl",US,Texas,Taylor,Abilene,333 Sugarberry Avenue,32.3822878,-99.7184658,522.5,m
,2,2024-03-17 00:00:00,Asteraceae,Taraxacum,sp.,,Front Lawn of house,"Poaceae, St. Augustine grass",Flowering,Wild,B,"Herb, Rosette growth, yellow flower head",US,Texas,Taylor,Abilene,334 Sugarberry Avenue,32.3822878,-99.7184658,522.5,m
,3,2024-03-17 00:00:00,Asparagaceae,Muscari,neglectum,,Pot in front of house,,Flowering,Cultivated,B,"Herb from Bulb, blue-purple flowers",US,Texas,Taylor,Abilene,335 Sugarberry Avenue,32.3822878,-99.7184658,522.5,m
,4,2024-03-17 00:00:00,Berbidaceae,Berberis,sp.,,"Side of a path under tree, near lake",Mesquite Tree,Flowering,Wild,B,Large bush with woody stems and spikey leaves. Yellow flowers with hint of Red,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,5,2024-03-17 00:00:00,Asteraceae,Tetraneuris,sp.,,Side of a path  near lake,,Flowering,Wild,B,Basal growth. Gold flower,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,6,2024-03-17 00:00:00,Brassicaceae,Rapistrum,sp.,,"Side of a path  near lake, in thorny leafless bushes",,Flowering,Wild,B,around 25-45 cm tall. Small dainty yellow flowers,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,7,2024-03-17 00:00:00,Geraniaceae,Erodium,sp.,,Growing on the side of the road ,,Flowering,Wild,B,Small purple star shaped flowers with frilly fern like leaves.,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,8,2024-03-17 00:00:00,Fabaceae,Astragalus,sp.,,"Side of a path  near lake, in thorny leafless bushes",,Flowering,Wild,B,Striking purple inflorescence. 4 Flowers per inflorescence. pinnate leaves.,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,9,2024-03-17 00:00:00,Onagraceae,Oenothera,sp.1,,Growing on the side of the road ,,Flowering,Wild,B,Large yellow flower. Very thick stem,US,Texas,Taylor,Abilene,Lake Kirby Park,32.3823306,-99.7185889,517.3824436,m
,10,2024-03-21 00:00:00,Cupressaceae,Juniperus,sp.,,Desert/Brushy environment,,Cones present,Wild,F,"Juniper-like structure  
small berry-shaped cones ",US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,11,2024-03-21 00:00:00,Asteraceae,Amblyolepis,sp.,,Desert/Brushy environment,,Flowering,Wild,B,"Yellow inflorescence. Sage green colored leaves, basal growth",US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,12,2024-03-21 00:00:00,Malvaceae,Sphaeralcea,sp.,,Desert/Brushy environment,,Flowering,Wild,B,"Orange flower, small leaves of sage green color.",US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,13,2024-03-21 00:00:00,Amaryllidaceae,Nothoscordum,bivalve,,Desert/Brushy environment,,Flowering,Wild,B,small dainty white flowers. bright yellow stamens ,US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,14,2024-03-25 00:00:00,Fabaceae,Lupinus,texensis,,"Empty Lot, sandy soil with grass all over",,Flowering,Wild,B,Blue to purple color. Herb. ,US,Texas,Tom Green,San Angelo,Corner of Arden Rd and Horn Street,31.4447331,-100.4820217,562.4000244,m
,15,2024-03-30 00:00:00,Lamiaceae,Salvia,greggii,,Growing in bed at olives nursery has been there for multiple years ,,Flowering,Cultivated,B,Pink salvia-like flowers. Shrub habit,US,Texas,Tom Green,San Angelo,3402 Sherwood Way  Olive's Nursery,31.4447331,-100.4820217,562.4000244,m
,16,2024-04-04 00:00:00,Malvaceae,Sphaeralcea,angustifolia,,Desert/Brushy environment,,Flowering,Wild,B,"Orange flower, resembles typical hibiscus.",US,Texas,Tom Green,San Angelo,Angelo State MIR,31.5027182,-100.4974139,565,m
,17,2024-04-04 00:00:00,Malvaceae,Sida,abutifolia,,Desert/Brushy environment,,Flowering,Wild,B,"Yellow flower 
Mallow and Hibiscus family (from Seek)",US,Texas,Tom Green,San Angelo,Angelo State MIR,31.5027182,-100.4974139,565,m
,18,2024-04-04 00:00:00,Verbenaceae,Glandularia,sp.,,Desert/Brushy environment,,Flowering,Wild,B,Purple flowers,US,Texas,Tom Green,San Angelo,Angelo State MIR,31.5027182,-100.4974139,565,m
,19,2024-04-04 00:00:00,Cactaceae,Cylindropuntia,sp.,,Desert/Brushy environment,,Flowering,Wild,B,Numerous red fruit ordained with spines,US,Texas,Tom Green,San Angelo,Angelo State MIR,31.5027182,-100.4974139,565,m
,20,2024-04-11 00:00:00,Crassulaceae,Sedum,sp.,,Riverside. Under large Oaks,,Flowering,Wild,B,Umbel of Yellow flowers,US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,21,2024-04-11 00:00:00,Poaceae,Polypogon,sp.,,Riverside. Under large Oaks,,Flowering,Wild,B,grass like leaves. Raceme of florets. ,US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,22,2024-04-11 00:00:00,Oxalidaceae,Oxalis,stricta,,Riverside. Under large Oaks,,Flowering,Wild,B,"Yellow flower, Leaves form a pyramid shape.",US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,23,2024-04-11 00:00:00,Plantaginaceae,Plantago,rhodosperma,,Riverside. Under large Oaks,,Flowering,Wild,B,Fuzzy leaves. Basal rosette growth. Inflorescence seems to be Spike,US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,24,2024-04-11 00:00:00,Brassicaceae,Lepidium,sp.,,Riverside. Under large Oaks,,Flowering,Wild,B,White infloresence above a long spike of heart shaped fruits,US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,25,2024-04-11 00:00:00,Onagraceae,Oenothera,sp. 2,,Riverside. Under large Oaks,,Flowering,Wild,B,Large Yellow flowers. Small herb,US,Texas,Tom Green,. Christoval Tx,Pugh River Park,31.1807357,-100.5048297,593.6508005,m
,27,2024-04-12 00:00:00,Onagraceae,Oenothera,speciosa,,Under stop sign in tended area of ASU. ,,Flowering,Wild,B,"Large pink, yellow, and white flowers. Herb.",US,Texas,Tom Green,San Angelo,Angelo State. Douglas Rd,31.4423568,-100.4696496,563.1000366,m
,28,2024-04-13 00:00:00,Fabaceae,Prosopis,sp.,,"Chihuahuan Desert, on a mountain side 100 m from entrance to trail",,Flowering,Wild,B,Purple plant with one inflorescene.,US,Texas,Terrell County,Sanderson Texas,. Cactus Capital Nature and Hiking trail.,30.1450523,-102.397966,836.3000488,m
,29,2024-04-13 00:00:00,Fabaceae,Senegalia,sp.,,"Chihuahuan Desert, on a mountain side 100 m from entrance to trail",,Flowering,Wild,B,Large bush with thorns all over. Flowers are numerous and stamens and pistils exposed. Each infloresence consists of a red core with many white protrusions.,US,Texas,Terrell County,Sanderson Texas,. Cactus Capital Nature and Hiking trail.,30.1450523,-102.397966,836.3000488,m
,30,2024-04-13 00:00:00,Plantaginaceae,Plantago,helleri,,"Chihuahuan Desert, on a mountain side 100 m from entrance to trail",,Flowering,Wild,B,All aspects of plant a fairly deep red.,US,Texas,Terrell County,Sanderson Texas,. Cactus Capital Nature and Hiking trail.,30.1450523,-102.397966,836.3000488,m
,31,2024-04-13 00:00:00,Fouquieriaceae,Fouquieria,sp.,,"Chihuahuan Desert, on a mountain side 100 m from entrance to trail",,Flowering,Wild,B,"Giant and psuedowoody plant. Flame red flowers, all specimens in area lacked leaves.",US,Texas,Terrell County,Sanderson Texas,. Cactus Capital Nature and Hiking trail.,30.1450523,-102.397966,836.3000488,m
,32,2024-04-28 00:00:00,Solanaceae,Solanum,elaeagnifolium,,"Empty Lot, sandy soil with grass all over",,Flowering,Wild,B,"Bright purple flower with yellow reproductive whorls. Silver colored leaves, stem ordained with spines all throughout.",US,Texas,Tom Green,San Angelo,Corner of Arden Rd and Horn Street,31.4447331,-100.4820217,562.4000244,m
,33,2024-04-28 00:00:00,Apiaceae ,Torilis,sp.,,"Empty Lot, sandy soil with grass all over",,Flowering,Wild,B,"White umbels on most of plant, long internodal sections. One red umbel that is possibly maturing fruit.",US,Texas,Tom Green,San Angelo,Corner of Arden Rd and Horn Street,31.4447331,-100.4820217,562.4000244,m
,15,2024-04-11 00:00:00,Brassicaceae,Physaria,gordonii,,,,Flowering,Wild,B,"Green and purple fruit. Thin protrusions coming off the fruit, From Liana-Might have had small yellow flowers. Herb",US,Texas,Tom Green,San Angelo,,31.4850195,-100.5476147,569.8580884,m
,41,2024-04-27 00:00:00,Poaceae,Sorghum,halepense,,Desert/Brushy environment,,Flowering,Wild,B,Long grass with large seedhead. Herb.,US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,42,2024-04-27 00:00:00,Apiaceae ,Daucus,sp.,,Desert/Brushy environment,,Flowering,Wild,B,Long stem with apical umbel inflorescence. Herb.,US,Texas,Tom Green,San Angelo,San Angelo Nature Trail. Approximately 50 meters from entrance ,31.3776823,-100.5331753,555.3904004,m
,,,,,,,,,,,,,,,,,,,,,m
,1,2024-03-30 00:00:00,Rosaceae,Rosa,odorata,,Neighborhood flower garden,Tea Rose,Flowering,Cultivated,Bisexual,Dark pink petals,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50375,-97.62617,735,feet
,2,2024-03-30 00:00:00,Fabaceae,Wisteria,frutescens,,Garden of fence rows near creek,Wisteria,Flowering,Cultivated,Bisexual,Light and dark purple petals,USA,Texas,Williamson,Round Rock,Via Sonoma Trail,30.50385,-97.62612,735,feet
,3,2024-03-30 00:00:00,Rosaceae,Rosa,banksiae,,Growing on residential fence,Yellow Lady Banks Rose,Flowering,Cultivated,Bisexual,Pale yellow umbel inflorescence,USA,Texas,Williamson,Round Rock,Homewood Cir,30.5065,-97.62704,735,feet
